rank,lead_id,name,minfile,primary_metal,metals_abbr,commodity,status,deposit_open,hard_to_stake,nearest_community,community_type,community_km,deposit_size,grade_str,tonnes_str,resource_cat,drill_highlights,exploration_spend,exploration_spend_str,n_reports,last_work_year,operators,basis,encumbrances,core_cell,n_cells,cells_area_ha,score,grade_conf,production,last_prod_year,lat,lon,cell_ids,minfile_url,capsule
476,L0476,Chegoggin Point Garnet Prospect,O16-028,Other metallic,Met,Garnet,Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-10353_9765,13,325.0,27,1.0,,,43.86066,-66.17059,-10355_9765;-10354_9764;-10354_9765;-10354_9766;-10353_9763;-10353_9764;-10353_9765;-10353_9766;-10353_9767;-10352_9764;-10352_9765;-10352_9766;-10351_9765,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=O16-028,
477,L0477,Deerfield Silica Prospect,O16-026,Other metallic,Met-Ind,"Si, Silica",Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met-Ind). Deposit itself unclaimed.,,-10328_9783,12,300.0,27,1.0,,,43.94462,-66.00803,-10330_9783;-10329_9782;-10329_9783;-10329_9784;-10328_9781;-10328_9782;-10328_9783;-10328_9784;-10328_9785;-10327_9782;-10327_9783;-10327_9784,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=O16-026,
478,L0478,Middle Sackville Au Prospect,D13-029,Other metallic,Met,Au,Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-9968_9970,13,325.0,27,1.0,,,44.78234,-63.7097,-9970_9970;-9969_9969;-9969_9970;-9969_9971;-9968_9968;-9968_9969;-9968_9970;-9968_9971;-9968_9972;-9967_9969;-9967_9970;-9967_9971;-9966_9970,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=D13-029,
479,L0479,Lake Fletcher Barite Prospect,D13-036,Other metallic,Met,Ba,Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-9952_9981,13,325.0,27,1.0,,,44.83282,-63.60519,-9954_9981;-9953_9980;-9953_9981;-9953_9982;-9952_9979;-9952_9980;-9952_9981;-9952_9982;-9952_9983;-9951_9980;-9951_9981;-9951_9982;-9950_9981,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=D13-036,
480,L0480,"Steve's Road Au, Pb Prospect",D13-039,Other metallic,Met,"Au, Pb",Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-9969_10004,13,325.0,27,1.0,,,44.9369,-63.71373,-9971_10004;-9970_10003;-9970_10004;-9970_10005;-9969_10002;-9969_10003;-9969_10004;-9969_10005;-9969_10006;-9968_10003;-9968_10004;-9968_10005;-9967_10004,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=D13-039,
481,L0481,"Barren Hill Road Zone Cu, Co Occurrence",F10-039,Other metallic,Met,"Cu, Co",Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-9467_10178,13,325.0,27,1.0,,,45.71839,-60.51014,-9469_10178;-9468_10177;-9468_10178;-9468_10179;-9467_10176;-9467_10177;-9467_10178;-9467_10179;-9467_10180;-9466_10177;-9466_10178;-9466_10179;-9465_10178,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=F10-039,
482,L0482,Cameron Dam Au Occurrence,E02-041,Other metallic,Met,Au,Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-9787_10062,13,325.0,27,1.0,,,45.19729,-62.55298,-9789_10062;-9788_10061;-9788_10062;-9788_10063;-9787_10060;-9787_10061;-9787_10062;-9787_10063;-9787_10064;-9786_10061;-9786_10062;-9786_10063;-9785_10062,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=E02-041,
483,L0483,Barney Point Au Prospect,D16-005,Other metallic,Met,Au,Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-9729_10006,13,325.0,27,1.0,,,44.94598,-62.18314,-9731_10006;-9730_10005;-9730_10006;-9730_10007;-9729_10004;-9729_10005;-9729_10006;-9729_10007;-9729_10008;-9728_10005;-9728_10006;-9728_10007;-9727_10006,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=D16-005,
484,L0484,"Meteghan Pb, Zn, Ag Prospect",B01-001,Other metallic,Met,"Pb, Zn, Cu, Ag",Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-10354_9836,13,325.0,27,1.0,,,44.1828,-66.17535,-10356_9836;-10355_9835;-10355_9836;-10355_9837;-10354_9834;-10354_9835;-10354_9836;-10354_9837;-10354_9838;-10353_9835;-10353_9836;-10353_9837;-10352_9836,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=B01-001,
485,L0485,"Meteghan Pb, Zn, Ag Prospect",B01-001,Other metallic,Met,"Pb, Zn, Cu, Ag",Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-10354_9836,13,325.0,27,1.0,,,44.18294,-66.175,-10356_9836;-10355_9835;-10355_9836;-10355_9837;-10354_9834;-10354_9835;-10354_9836;-10354_9837;-10354_9838;-10353_9835;-10353_9836;-10353_9837;-10352_9836,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=B01-001,
