rank,lead_id,name,minfile,primary_metal,metals_abbr,commodity,status,deposit_open,hard_to_stake,nearest_community,community_type,community_km,deposit_size,grade_str,tonnes_str,resource_cat,drill_highlights,exploration_spend,exploration_spend_str,n_reports,last_work_year,operators,basis,encumbrances,core_cell,n_cells,cells_area_ha,score,grade_conf,production,lat,lon,cell_ids,minfile_url,capsule
293,L0293,Little McDougall Lake South,342,Other metallic,Met,"Cu, Mo, Pb, WO3",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10217_10108,13,325.0,17,1.0,,45.40363,-66.71607,-10219_10108;-10218_10107;-10218_10108;-10218_10109;-10217_10106;-10217_10107;-10217_10108;-10217_10109;-10217_10110;-10216_10107;-10216_10108;-10216_10109;-10215_10108,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=342,
294,L0294,Little McDougall Lake East *,343,Other metallic,Met,"Ag, Cu, Mo, Pb, W, Zn",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10215_10110,13,325.0,17,1.0,,45.41086,-66.70775,-10217_10110;-10216_10109;-10216_10110;-10216_10111;-10215_10108;-10215_10109;-10215_10110;-10215_10111;-10215_10112;-10214_10109;-10214_10110;-10214_10111;-10213_10110,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=343,
295,L0295,Sand Brook Mountain,344,Other metallic,Met,"Ag, Au, Sb",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10188_10122,9,225.0,17,1.0,,45.46668,-66.53246,-10189_10121;-10188_10120;-10188_10121;-10188_10122;-10188_10123;-10187_10121;-10187_10122;-10187_10123;-10186_10122,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=344,
296,L0296,Sand Brook Lake West &quot;I&quot;,345,Other metallic,Met,"F, Li, Mo",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10187_10115,13,325.0,17,1.0,,45.4328,-66.52414,-10189_10115;-10188_10114;-10188_10115;-10188_10116;-10187_10113;-10187_10114;-10187_10115;-10187_10116;-10187_10117;-10186_10114;-10186_10115;-10186_10116;-10185_10115,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=345,
297,L0297,Otter Lake Copper &quot;I&quot;,346,Other metallic,Met,Cu,Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10200_10119,13,325.0,17,1.0,,45.45308,-66.60802,-10202_10119;-10201_10118;-10201_10119;-10201_10120;-10200_10117;-10200_10118;-10200_10119;-10200_10120;-10200_10121;-10199_10118;-10199_10119;-10199_10120;-10198_10119,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=346,
298,L0298,Spring Brook *,347,Other metallic,Met,"Cu, Mo",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10194_10122,13,325.0,17,1.0,,45.4678,-66.56831,-10196_10122;-10195_10121;-10195_10122;-10195_10123;-10194_10120;-10194_10121;-10194_10122;-10194_10123;-10194_10124;-10193_10121;-10193_10122;-10193_10123;-10192_10122,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=347,
299,L0299,Trout Lake - Western Mines,348,Other metallic,Met,Mo,Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10184_10112,13,325.0,17,1.0,,45.41891,-66.50608,-10186_10112;-10185_10111;-10185_10112;-10185_10113;-10184_10110;-10184_10111;-10184_10112;-10184_10113;-10184_10114;-10183_10111;-10183_10112;-10183_10113;-10182_10112,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=348,
300,L0300,South Branch Oromocto River *,349,Other metallic,Met,Cu,Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10204_10119,13,325.0,17,1.0,,45.45447,-66.63635,-10206_10119;-10205_10118;-10205_10119;-10205_10120;-10204_10117;-10204_10118;-10204_10119;-10204_10120;-10204_10121;-10203_10118;-10203_10119;-10203_10120;-10202_10119,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=349,
301,L0301,Scoullar Brook,350,Other metallic,Met,Cu,Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10210_10123,13,325.0,17,1.0,,45.47086,-66.67275,-10212_10123;-10211_10122;-10211_10123;-10211_10124;-10210_10121;-10210_10122;-10210_10123;-10210_10124;-10210_10125;-10209_10122;-10209_10123;-10209_10124;-10208_10123,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=350,
302,L0302,Wildcat Brook *,351,Other metallic,Met,"Cu, F, Mo",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10210_10110,13,325.0,17,1.0,,45.4114,-66.67441,-10212_10110;-10211_10109;-10211_10110;-10211_10111;-10210_10108;-10210_10109;-10210_10110;-10210_10111;-10210_10112;-10209_10109;-10209_10110;-10209_10111;-10208_10110,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=351,
